City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Valdepenas,ES,2023-01-13 03:55:21,38.7621,-3.3848,40.05,76,95,3.76
220,Coracora,PE,2023-01-13 03:55:21,-15.0333,-73.7833,52.5,74,100,0.76
221,Valdivia,CL,2023-01-13 03:52:29,-39.8142,-73.2459,57.29,90,45,2.39
222,Saldanha,ZA,2023-01-13 03:55:22,-33.0117,17.9442,59.05,90,0,4.61
223,Victoria Point,AU,2023-01-13 03:55:22,-27.5833,153.3,90.07,55,14,8.01
224,Comodoro Rivadavia,AR,2023-01-13 03:55:23,-45.8667,-67.5,66.06,48,0,10.36
225,Vanimo,PG,2023-01-13 03:55:23,-2.6741,141.3028,84.83,69,97,5.37
226,Malatya,TR,2023-01-13 03:55:24,38.5,38.0,17.65,93,0,1.14
227,Iranshahr,IR,2023-01-13 03:55:24,27.2025,60.6848,35.94,60,0,0.0
228,Hamilton,US,2023-01-13 03:50:35,39.1834,-84.5333,39.99,91,100,11.99
229,Pahrump,US,2023-01-13 03:55:25,36.2083,-115.9839,49.32,49,100,2.06
230,Cap Malheureux,MU,2023-01-13 03:55:25,-19.9842,57.6142,78.78,72,100,16.84
231,Constantine,DZ,2023-01-13 03:54:52,36.365,6.6147,35.01,93,20,2.3
232,Hithadhoo,MV,2023-01-13 03:55:26,-0.6,73.0833,80.22,67,84,11.95
233,Flin Flon,CA,2023-01-13 03:55:26,54.7682,-101.865,2.32,100,85,4.76
234,Inirida,CO,2023-01-13 03:55:27,3.8653,-67.9239,71.94,98,79,1.92
235,Cabadiangan,PH,2023-01-13 03:55:27,9.7531,122.4739,78.64,87,100,15.26
236,Mumford,GH,2023-01-13 03:55:28,5.2618,-0.759,77.23,88,1,4.0
237,Paka,MY,2023-01-13 03:55:28,4.6374,103.4368,82.38,89,20,3.44
238,Buraydah,SA,2023-01-13 03:55:29,26.326,43.975,48.65,62,38,9.51
239,Wexford,IE,2023-01-13 03:55:30,52.3342,-6.4575,47.12,78,88,13.0
240,Yellowknife,CA,2023-01-13 03:55:30,62.456,-114.3525,-1.44,84,0,10.36
241,Umuarama,BR,2023-01-13 03:55:30,-23.7664,-53.325,67.93,92,95,5.73
242,Arraial Do Cabo,BR,2023-01-13 03:55:31,-22.9661,-42.0278,74.55,95,94,13.04
243,Makokou,GA,2023-01-13 03:55:31,0.5738,12.8642,68.13,98,99,2.01
244,Tripoli,LY,2023-01-13 03:55:32,32.8752,13.1875,59.63,66,6,15.59
245,Bethel,US,2023-01-13 03:55:32,41.3712,-73.414,55.0,88,100,3.0
246,Prabumulih,ID,2023-01-13 03:55:33,-3.45,104.25,84.38,73,83,2.46
247,Dubbo,AU,2023-01-13 03:55:33,-32.25,148.6167,91.53,35,100,12.66
248,Moscow,RU,2023-01-13 03:51:48,55.7522,37.6156,21.72,91,100,10.4
249,Tadine,NC,2023-01-13 03:55:34,-21.55,167.8833,79.9,69,16,13.49
250,Kautokeino,NO,2023-01-13 03:55:34,69.0125,23.0412,20.05,98,100,3.15
251,Katobu,ID,2023-01-13 03:55:35,-4.9408,122.5276,89.04,53,99,7.38
252,Jeremie,HT,2023-01-13 03:55:35,18.65,-74.1167,74.98,82,14,4.65
253,Eskil,TR,2023-01-13 03:55:35,38.4017,33.4131,36.59,54,99,7.18
254,Fallon,US,2023-01-13 03:55:36,39.4735,-118.7774,44.47,61,75,3.44
255,Sjenica,RS,2023-01-13 03:55:36,43.2731,19.9994,26.58,98,85,0.89
256,Mont-Dore,NC,2023-01-13 03:55:37,-22.2833,166.5833,82.38,65,42,15.32
257,Leh,IN,2023-01-13 03:55:37,34.1667,77.5833,10.24,77,100,3.36
258,Chara,RU,2023-01-13 03:55:37,56.9064,118.2631,-21.55,66,14,4.29
259,Galle,LK,2023-01-13 03:55:38,6.0367,80.217,78.51,73,72,2.33
260,Lompoc,US,2023-01-13 03:55:38,34.6391,-120.4579,59.77,81,100,6.89
261,Airai,TL,2023-01-13 03:55:39,-8.9266,125.4092,73.85,64,93,2.82
262,Klaksvik,FO,2023-01-13 03:55:39,62.2266,-6.589,36.52,80,100,28.5
263,Kalmunai,LK,2023-01-13 03:55:39,7.4167,81.8167,76.51,70,92,8.25
264,Karratha,AU,2023-01-13 03:55:40,-20.7377,116.8463,99.57,34,20,19.37
265,Souillac,MU,2023-01-13 03:55:40,-20.5167,57.5167,75.58,88,75,3.44
266,Banda Aceh,ID,2023-01-13 03:55:41,5.5577,95.3222,82.58,70,89,2.44
267,Dvinskoy,RU,2023-01-13 03:55:41,62.1535,45.1175,18.43,91,99,9.1
268,Ossora,RU,2023-01-13 03:55:41,59.2353,163.0719,1.69,93,100,4.61
269,Ciudad Bolivar,VE,2023-01-13 03:55:42,8.1222,-63.5497,76.3,76,57,10.09
270,Phulji,PK,2023-01-13 03:55:42,26.8825,67.6807,52.86,11,0,3.96
271,Bathsheba,BB,2023-01-13 03:55:43,13.2167,-59.5167,77.61,83,75,14.97
